CD,ProTerr,Pop,Mort1516,Mort1617,Mort1718,Mort1819,Mort Avg,Net Inter Mig 1516,Net Intra Mig 1516,Net Mig 1516,Net Inter Mig 1617,Net Intra Mig 1617,Net Mig 1617,Net Inter Mig 1718,Net Intra Mig 1718,Net Mig 1718,Net Inter Mig 1819,Net Intra Mig 1819,Net Mig 1819,Net Mig Avg,Net Mig Avg Mil,Mig,Mort Avg Mil,Mort,Post Sec Rate,Post Sec,Avg Income,Un rate,Un,VM rate,VM,Ind rate,Ind,POC rate,POC,MedAge
Division No. 1 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"270,348","2,309","2,360","2,460","2,619","2,437.00",-279,987,708,"-1,264",978,-286,"-1,834",788,"-1,046","-1,682",733,-949,-393.25,-1454.606655,2,9014.307485,3,57.5,4,49853,10.5,3,3.4,1,2.9,1,6.3,2,43
Division No. 2 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"20,372",227,250,217,209,225.75,36,-108,-72,-19,-157,-176,-86,-170,-256,-80,-148,-228,-183,-8982.91773,1,11081.38622,4,48.1,3,41918,23.1,5,0.7,1,1.6,1,2.3,1,50.7
Division No. 3 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"15,560",195,197,150,170,178,18,-199,-181,-23,-134,-157,-63,-90,-153,-28,-132,-160,-162.75,-10459.51157,1,11439.58869,4,35.7,2,35219,27.9,5,0.5,1,11.5,3,12,3,51.6
Division No. 4 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"20,387",235,237,270,256,249.5,46,-83,-37,9,-63,-54,-133,-59,-192,-94,-29,-123,-101.5,-4978.662873,2,12238.191,4,46.1,3,34626,23.7,5,0.6,1,39.7,4,40.3,5,51.2
Division No. 5 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"42,014",419,451,438,439,436.75,-1,157,156,-137,70,-67,-267,112,-155,-237,96,-141,-51.75,-1231.73228,2,10395.34441,4,52,4,40805,16.5,4,1.1,1,23.2,4,24.3,4,23.2
Division No. 6 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"38,345",437,470,439,425,442.75,152,85,237,-86,108,22,-130,31,-99,-194,-13,-207,-11.75,-306.4284783,3,11546.48585,4,50.2,4,41283,15.7,4,1.4,1,6.3,2,7.7,2,47.5
Division No. 7 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"34,092",412,445,395,386,409.5,158,-127,31,44,-134,-90,-86,-69,-155,-75,-105,-180,-98.5,-2889.240878,2,12011.61563,4,43,3,37629,22.7,5,0.7,1,2.4,1,3.1,1,51.1
Division No. 8 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"35,794",426,407,400,417,412.5,168,-281,-113,132,-314,-182,50,-235,-185,74,-142,-68,-137,-3827.457116,2,11524.27781,4,35.8,2,35403,30.1,5,0.5,1,3.8,1,4.3,1,52.6
Division No. 9 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"15,607",195,175,194,204,192,85,-159,-74,85,-182,-97,49,-106,-57,-51,-127,-178,-101.5,-6503.492023,1,12302.1721,4,35.9,2,37386,37.2,5,1.2,1,13.1,3,14.3,3,52.6
Division No. 10 (Census division) [Newfoundland and Labrador],Newfoundland and Labrador,"24,639",144,141,144,139,142,-143,-243,-386,-177,-185,-362,-225,-191,-416,-232,-114,-346,-377.5,-15321.23869,1,5763.22091,2,53.5,4,58371,13.7,3,3.2,1,38.6,4,41.8,5,37.8
